product_name,quantity,price,expiration_date,supplier,location,category,weight,barcode,shelf_life
"Trout - Rainbow, Frozen",27,978.77,5/27/2023,Nlounge,Room 1786,home goods,26.0,4871192512256,115
"Ranchero - Primerba, Paste",410,699.92,4/14/2023,Thoughtblab,PO Box 92654,electronics,3.49,2443886058681,241
Cabbage Roll,883,114.76,10/10/2023,Voonyx,Suite 92,electronics,26.17,9890910972289,330
Sprouts - Onion,405,518.93,1/24/2023,Wikibox,Suite 86,home goods,26.88,9129205838531,29
Wine - Segura Viudas Aria Brut,271,668.49,1/16/2023,Gabspot,Apt 946,home goods,14.47,4055672181429,48
"Soup - Knorr, Chicken Gumbo",279,466.63,12/24/2023,Twimm,PO Box 7484,home goods,37.89,5383561558406,126
Bread Ww Cluster,377,371.07,5/4/2022,Avamm,Room 1217,home goods,64.0,7067772250124,79
"Pepsi - Diet, 355 Ml",161,307.3,7/31/2023,Zoombeat,Apt 524,clothing,44.32,7059904629837,295
Ham - Black Forest,136,928.26,12/3/2022,Skipstorm,Apt 220,electronics,2.29,3185382394447,153
"Brocolinni - Gaylan, Chinese",111,326.18,8/24/2023,Kaymbo,Apt 889,home goods,50.25,6902562014209,79
"Pasta - Rotini, Dry",690,803.6,11/4/2023,Zoomzone,Apt 758,clothing,7.0,9302438604610,85
Laundry - Bag Cloth,751,2.14,2/4/2022,Zoozzy,Room 1822,electronics,92.71,4585794009548,285
Spinach - Baby,822,571.12,11/14/2022,Meevee,Suite 10,electronics,13.06,1429588359994,256
Basil - Pesto Sauce,221,208.34,3/10/2022,Skynoodle,PO Box 72412,clothing,7.21,3353727675077,214
Radish,382,661.8,6/10/2022,Demizz,Apt 351,electronics,46.85,5992150986968,19
Cactus Pads,861,643.29,1/13/2023,Ozu,Room 1786,home goods,48.39,9965211488322,356
Oven Mitts 17 Inch,933,622.86,6/3/2022,Kimia,Room 1864,clothing,97.81,4111099376961,188
"Bread - White, Unsliced",779,843.04,10/3/2023,Livetube,PO Box 2929,electronics,87.05,7525847224278,283
"Ecolab - Orange Frc, Cleaner",890,556.09,12/3/2022,Fanoodle,PO Box 78699,electronics,71.57,1789987343672,295
Chips Potato Salt Vinegar 43g,893,658.97,2/10/2022,Geba,Room 480,home goods,11.97,5035001850019,60
Marjoram - Fresh,688,884.23,3/30/2023,Brainbox,Apt 604,clothing,21.09,5000833662149,29
